,Team Name,Player Name,Goals Scored,Unnamed: 0,Year,Team Initials,Home Team Goals,Away Team Goals,Total_goals
281,Scotland,Stuart McCALL,3,167,1978.0,SCT,4.0,1.0,5.0
282,Scotland,Stuart McCALL,3,189,1982.0,SCT,5.0,3.0,8.0
283,Scotland,Stuart McCALL,3,215,1986.0,SCT,0.0,1.0,1.0
284,Scotland,Stuart McCALL,3,234,1990.0,SCT,0.0,2.0,2.0
285,Scotland,Stuart McCALL,3,294,1998.0,SCT,1.0,1.0,2.0
286,Senegal,H. CAMARA,3,323,2002.0,SEN,3.0,4.0,7.0
287,Serbia,JOVANOVI?,1,355,2006.0,SRB,0.0,2.0,2.0
288,Serbia,JOVANOVI?,1,389,2010.0,SRB,0.0,2.0,2.0
289,Slovakia,VITTEK,3,391,2010.0,SVK,3.0,2.0,5.0
290,Slovenia,LJUBIJANKI?,1,324,2002.0,SVN,1.0,1.0,2.0
291,Slovenia,LJUBIJANKI?,1,392,2010.0,SVN,2.0,1.0,3.0
292,South Africa,TSHABALALA,2,293,1998.0,ZAF,3.0,0.0,3.0
293,South Africa,TSHABALALA,2,321,2002.0,ZAF,3.0,2.0,5.0
294,South Africa,TSHABALALA,2,388,2010.0,ZAF,1.0,2.0,3.0
295,Soviet Union,Yuri GAVRILOV,5,86,1958.0,RUS,5.0,0.0,5.0
296,Soviet Union,Yuri GAVRILOV,5,102,1962.0,RUS,8.0,1.0,9.0
297,Soviet Union,Yuri GAVRILOV,5,119,1966.0,RUS,8.0,2.0,10.0
298,Soviet Union,Yuri GAVRILOV,5,135,1970.0,RUS,6.0,0.0,6.0
299,Soviet Union,Yuri GAVRILOV,5,192,1982.0,RUS,5.0,2.0,7.0
300,Soviet Union,Yuri GAVRILOV,5,216,1986.0,RUS,11.0,1.0,12.0
301,Soviet Union,Yuri GAVRILOV,5,238,1990.0,RUS,0.0,4.0,4.0
302,Spain,ZARRA,7,18,1934.0,ESP,3.0,1.0,4.0
303,Spain,ZARRA,7,48,1950.0,ESP,6.0,4.0,10.0
304,Spain,ZARRA,7,95,1962.0,ESP,1.0,1.0,2.0
305,Spain,ZARRA,7,110,1966.0,ESP,2.0,2.0,4.0
306,Spain,ZARRA,7,156,1978.0,ESP,1.0,1.0,2.0
307,Spain,ZARRA,7,178,1982.0,ESP,3.0,1.0,4.0
308,Spain,ZARRA,7,202,1986.0,ESP,1.0,10.0,11.0
309,Spain,ZARRA,7,227,1990.0,ESP,1.0,5.0,6.0
310,Spain,ZARRA,7,249,1994.0,ESP,5.0,5.0,10.0
311,Spain,ZARRA,7,277,1998.0,ESP,8.0,0.0,8.0
312,Spain,ZARRA,7,308,2002.0,ESP,7.0,3.0,10.0
313,Spain,ZARRA,7,340,2006.0,ESP,8.0,1.0,9.0
314,Spain,ZARRA,7,372,2010.0,ESP,3.0,5.0,8.0
315,Spain,ZARRA,7,409,2014.0,ESP,1.0,3.0,4.0
316,Sweden,Tore KELLER,5,26,1934.0,SWE,3.0,1.0,4.0
317,Sweden,Tore KELLER,5,42,1938.0,SWE,8.0,3.0,11.0
318,Sweden,Tore KELLER,5,53,1950.0,SWE,8.0,3.0,11.0
319,Sweden,Tore KELLER,5,84,1958.0,SWE,10.0,2.0,12.0
320,Sweden,Tore KELLER,5,133,1970.0,SWE,2.0,0.0,2.0
321,Sweden,Tore KELLER,5,149,1974.0,SWE,5.0,2.0,7.0
322,Sweden,Tore KELLER,5,168,1978.0,SWE,1.0,0.0,1.0
323,Sweden,Tore KELLER,5,235,1990.0,SWE,2.0,1.0,3.0
324,Sweden,Tore KELLER,5,264,1994.0,SWE,7.0,8.0,15.0
325,Sweden,Tore KELLER,5,325,2002.0,SWE,4.0,1.0,5.0
326,Sweden,Tore KELLER,5,357,2006.0,SWE,3.0,0.0,3.0
327,Switzerland,XHAKA,6,25,1934.0,CHE,3.0,2.0,5.0
328,Switzerland,XHAKA,6,41,1938.0,CHE,5.0,0.0,5.0
