Place,Team,GP,W,D,L,GF,GA,GD,P,Year,League
6,ATA,24,9,10,5,0,0,0,37,2000,Italian Serie A
7,MIL,24,9,9,6,0,0,0,36,2000,Italian Serie A
8,BOL,24,9,6,9,0,0,0,33,2000,Italian Serie A
9,PER,24,8,7,9,0,0,0,31,2000,Italian Serie A
10,FIO,24,6,12,6,0,0,0,30,2000,Italian Serie A
11,LEC,24,7,8,9,0,0,0,29,2000,Italian Serie A
12,UDN,24,9,2,13,0,0,0,29,2000,Italian Serie A
13,VER,24,6,6,12,0,0,0,24,2000,Italian Serie A
14,VIC,24,6,6,12,0,0,0,24,2000,Italian Serie A
15,NAP,24,5,8,11,0,0,0,23,2000,Italian Serie A
16,BRE,24,4,10,10,0,0,0,22,2000,Italian Serie A
17,REG,24,5,5,14,0,0,0,20,2000,Italian Serie A
18,BAR,24,5,4,15,0,0,0,19,2000,Italian Serie A
1,JUV,34,20,11,3,64,23,41,71,2001,Italian Serie A
2,ROMA,34,19,13,2,58,24,34,70,2001,Italian Serie A
3,INT,34,20,9,5,62,35,27,69,2001,Italian Serie A
4,MIL,34,14,13,7,47,33,14,55,2001,Italian Serie A
5,CVO,34,14,12,8,57,52,5,54,2001,Italian Serie A
6,LAZ,34,14,11,9,50,37,13,53,2001,Italian Serie A
7,BOL,34,15,7,12,40,40,0,52,2001,Italian Serie A
8,PER,34,13,7,14,38,46,-8,46,2001,Italian Serie A
9,ATA,34,12,9,13,41,50,-9,45,2001,Italian Serie A
10,PAR,34,12,8,14,43,47,-4,44,2001,Italian Serie A
11,TOR,34,10,13,11,37,39,-2,43,2001,Italian Serie A
12,PIA,34,11,9,14,49,43,6,42,2001,Italian Serie A
13,BRE,34,9,13,12,43,52,-9,40,2001,Italian Serie A
14,UDN,34,11,7,16,41,52,-11,40,2001,Italian Serie A
15,VER,34,11,6,17,41,53,-12,39,2001,Italian Serie A
16,LEC,34,6,10,18,36,56,-20,28,2001,Italian Serie A
17,FIO,34,5,7,22,29,63,-34,22,2001,Italian Serie A
18,Venezia,34,3,9,22,30,61,-31,18,2001,Italian Serie A
1,JUV,34,21,9,4,64,29,35,72,2002,Italian Serie A
2,INT,34,19,8,7,64,38,26,65,2002,Italian Serie A
3,MIL,34,18,7,9,55,30,25,61,2002,Italian Serie A
4,LAZ,34,15,15,4,57,32,25,60,2002,Italian Serie A
5,PAR,34,15,11,8,55,36,19,56,2002,Italian Serie A
6,UDN,34,16,8,10,38,35,3,56,2002,Italian Serie A
7,CVO,34,16,7,11,51,39,12,55,2002,Italian Serie A
8,ROMA,34,13,10,11,55,46,9,49,2002,Italian Serie A
9,BRE,34,9,15,10,36,38,-2,42,2002,Italian Serie A
10,PER,34,10,12,12,40,48,-8,42,2002,Italian Serie A
11,BOL,34,10,11,13,39,47,-8,41,2002,Italian Serie A
12,EMP,34,9,11,14,36,46,-10,38,2002,Italian Serie A
13,ATA,34,8,14,12,35,47,-12,38,2002,Italian Serie A
14,REG,34,10,8,16,38,53,-15,38,2002,Italian Serie A
15,MOD,34,9,11,14,30,48,-18,38,2002,Italian Serie A
16,PIA,34,8,6,20,44,62,-18,30,2002,Italian Serie A
17,COMO,34,4,12,18,29,57,-28,24,2002,Italian Serie A
18,TOR,34,4,9,21,23,58,-35,21,2002,Italian Serie A
1,MIL,34,25,7,2,65,24,41,82,2003,Italian Serie A
2,ROMA,34,21,8,5,68,19,49,71,2003,Italian Serie A
3,JUV,34,21,6,7,67,42,25,69,2003,Italian Serie A
4,INT,34,17,8,9,59,37,22,59,2003,Italian Serie A
5,PAR,34,16,10,8,57,46,11,58,2003,Italian Serie A
6,LAZ,34,16,8,10,52,38,14,56,2003,Italian Serie A
7,UDN,34,13,11,10,44,40,4,50,2003,Italian Serie A
8,SAM,34,11,13,10,40,42,-2,46,2003,Italian Serie A
9,CVO,34,11,11,12,36,37,-1,44,2003,Italian Serie A
10,LEC,34,11,8,15,43,56,-13,41,2003,Italian Serie A
11,BRE,34,9,13,12,52,57,-5,40,2003,Italian Serie A
12,BOL,34,10,9,15,45,53,-8,39,2003,Italian Serie A
13,REG,34,6,16,12,29,45,-16,34,2003,Italian Serie A
14,SNA,34,8,10,16,41,54,-13,34,2003,Italian Serie A
15,PER,34,6,14,14,44,56,-12,32,2003,Italian Serie A
16,MOD,34,6,12,16,27,46,-19,30,2003,Italian Serie A
17,EMP,34,7,9,18,26,54,-28,30,2003,Italian Serie A
18,Ancona,34,2,7,25,21,70,-49,13,2003,Italian Serie A
1,JUV,38,26,8,4,67,27,40,86,2004,Italian Serie A
2,MIL,38,23,10,5,63,28,35,79,2004,Italian Serie A
3,INT,38,18,18,2,65,37,28,72,2004,Italian Serie A
4,UDN,38,17,11,10,56,40,16,62,2004,Italian Serie A
5,SAM,38,17,10,11,42,29,13,61,2004,Italian Serie A
6,PAL,38,12,17,9,48,44,4,53,2004,Italian Serie A
7,Messina,38,12,12,14,44,52,-8,48,2004,Italian Serie A
8,ROMA,38,11,12,15,55,58,-3,45,2004,Italian Serie A
9,LVO,38,11,12,15,49,60,-11,45,2004,Italian Serie A
10,LEC,38,10,14,14,66,73,-7,44,2004,Italian Serie A
11,REG,38,10,14,14,36,45,-9,44,2004,Italian Serie A
12,CAG,38,10,14,14,51,60,-9,44,2004,Italian Serie A
13,LAZ,38,11,11,16,48,53,-5,44,2004,Italian Serie A
14,SNA,38,9,16,13,44,55,-11,43,2004,Italian Serie A
15,CVO,38,11,10,17,32,49,-17,43,2004,Italian Serie A
16,FIO,38,9,15,14,42,50,-8,42,2004,Italian Serie A
17,BOL,38,9,15,14,33,36,-3,42,2004,Italian Serie A
18,PAR,38,10,12,16,48,65,-17,42,2004,Italian Serie A
19,BRE,38,11,8,19,37,54,-17,41,2004,Italian Serie A
20,ATA,38,8,11,19,34,45,-11,35,2004,Italian Serie A
1,INT,38,23,7,8,68,30,38,76,2005,Italian Serie A
2,ROMA,38,19,12,7,70,42,28,69,2005,Italian Serie A
3,MIL,38,28,4,6,85,31,54,58,2005,Italian Serie A
4,CVO,38,13,15,10,54,49,5,54,2005,Italian Serie A
5,PAL,38,13,13,12,50,52,-2,52,2005,Italian Serie A
6,LVO,38,12,13,13,37,44,-7,49,2005,Italian Serie A
7,PAR,38,12,9,17,46,60,-14,45,2005,Italian Serie A
8,EMP,38,13,6,19,47,61,-14,45,2005,Italian Serie A
9,FIO,38,22,8,8,66,41,25,44,2005,Italian Serie A
10,ASC,38,9,16,13,43,53,-10,43,2005,Italian Serie A
11,UDN,38,11,10,17,40,54,-14,43,2005,Italian Serie A
12,SAM,38,10,11,17,47,51,-4,41,2005,Italian Serie A
13,REG,38,11,8,19,39,65,-26,41,2005,Italian Serie A
14,CAG,38,8,15,15,42,55,-13,39,2005,Italian Serie A
15,SNA,38,9,12,17,42,60,-18,39,2005,Italian Serie A
16,LAZ,38,16,14,8,57,47,10,32,2005,Italian Serie A
17,Messina,38,6,13,19,33,59,-26,31,2005,Italian Serie A
18,LEC,38,7,8,23,30,57,-27,29,2005,Italian Serie A
19,Treviso,38,3,12,23,24,56,-32,21,2005,Italian Serie A
20,JUV,38,27,10,1,71,24,47,91,2005,Italian Serie A
1,INT,38,30,7,1,80,34,46,97,2006,Italian Serie A
2,ROMA,38,22,9,7,74,34,40,75,2006,Italian Serie A
3,LAZ,38,18,11,9,59,33,26,62,2006,Italian Serie A
4,MIL,38,19,12,7,57,36,21,61,2006,Italian Serie A
5,FIO,38,21,10,7,62,31,31,58,2006,Italian Serie A
6,PAL,38,16,10,12,58,51,7,58,2006,Italian Serie A
7,EMP,38,14,12,12,42,43,-1,54,2006,Italian Serie A
8,ATA,38,12,14,12,56,54,2,50,2006,Italian Serie A
9,SAM,38,13,10,15,44,48,-4,49,2006,Italian Serie A
10,UDN,38,12,10,16,49,55,-6,46,2006,Italian Serie A
11,LVO,38,10,13,15,41,54,-13,43,2006,Italian Serie A
12,PAR,38,10,12,16,41,56,-15,42,2006,Italian Serie A
13,CAT,38,10,11,17,46,68,-22,41,2006,Italian Serie A
14,REG,38,12,15,11,52,50,2,40,2006,Italian Serie A
15,SNA,38,9,14,15,35,45,-10,40,2006,Italian Serie A
16,CAG,38,9,13,16,35,46,-11,40,2006,Italian Serie A
17,TOR,38,10,10,18,27,47,-20,40,2006,Italian Serie A
18,CVO,38,9,12,17,38,48,-10,39,2006,Italian Serie A
19,ASC,38,5,12,21,36,67,-31,27,2006,Italian Serie A
20,Messina,38,5,11,22,37,69,-32,26,2006,Italian Serie A
1,INT,38,25,10,3,69,26,43,85,2007,Italian Serie A
2,ROMA,38,24,10,4,72,37,35,82,2007,Italian Serie A
3,JUV,38,20,12,6,72,37,35,72,2007,Italian Serie A
4,FIO,38,19,9,10,55,39,16,66,2007,Italian Serie A
5,MIL,38,18,10,10,66,38,28,64,2007,Italian Serie A
6,SAM,38,17,9,12,56,46,10,60,2007,Italian Serie A
7,UDN,38,16,9,13,48,53,-5,57,2007,Italian Serie A
8,NAP,38,14,8,16,50,53,-3,50,2007,Italian Serie A
9,ATA,38,12,12,14,52,56,-4,48,2007,Italian Serie A
10,GEN,38,13,9,16,44,54,-10,48,2007,Italian Serie A
11,PAL,38,12,11,15,47,57,-10,47,2007,Italian Serie A
12,LAZ,38,11,13,14,47,51,-4,46,2007,Italian Serie A
13,SNA,38,9,17,12,40,45,-5,44,2007,Italian Serie A
14,CAG,38,11,9,18,40,56,-16,42,2007,Italian Serie A
15,TOR,38,8,16,14,36,49,-13,40,2007,Italian Serie A
16,REG,38,9,13,16,37,56,-19,40,2007,Italian Serie A
17,CAT,38,8,13,17,33,45,-12,37,2007,Italian Serie A
18,EMP,38,9,9,20,29,52,-23,36,2007,Italian Serie A
19,PAR,38,7,13,18,42,62,-20,34,2007,Italian Serie A
20,LVO,38,6,12,20,35,60,-25,30,2007,Italian Serie A
1,INT,38,25,9,4,70,32,38,84,2008,Italian Serie A
2,JUV,38,21,11,6,69,37,32,74,2008,Italian Serie A
3,MIL,38,22,8,8,70,35,35,74,2008,Italian Serie A
4,FIO,38,21,5,12,53,38,15,68,2008,Italian Serie A
5,GEN,38,19,11,8,56,39,17,68,2008,Italian Serie A
6,ROMA,38,18,9,11,64,61,3,63,2008,Italian Serie A
7,UDN,38,16,10,12,61,50,11,58,2008,Italian Serie A
8,PAL,38,17,6,15,57,50,7,57,2008,Italian Serie A
9,CAG,38,15,8,15,49,50,-1,53,2008,Italian Serie A
10,LAZ,38,15,5,18,46,55,-9,50,2008,Italian Serie A
11,ATA,38,13,8,17,45,48,-3,47,2008,Italian Serie A
12,NAP,38,12,10,16,43,45,-2,46,2008,Italian Serie A
13,SAM,38,11,13,14,49,52,-3,46,2008,Italian Serie A
14,SNA,38,12,8,18,33,44,-11,44,2008,Italian Serie A
15,CAT,38,12,7,19,41,51,-10,43,2008,Italian Serie A
16,CVO,38,8,14,16,35,49,-14,38,2008,Italian Serie A
17,BOL,38,9,10,19,43,62,-19,37,2008,Italian Serie A
18,TOR,38,8,10,20,37,61,-24,34,2008,Italian Serie A
19,REG,38,6,13,19,30,62,-32,31,2008,Italian Serie A
20,LEC,38,5,15,18,37,67,-30,30,2008,Italian Serie A
1,INT,38,24,10,4,75,34,41,82,2009,Italian Serie A
2,ROMA,38,24,8,6,68,41,27,80,2009,Italian Serie A
3,MIL,38,20,10,8,60,39,21,70,2009,Italian Serie A
4,SAM,38,19,10,9,49,41,8,67,2009,Italian Serie A
5,PAL,38,18,11,9,59,47,12,65,2009,Italian Serie A
6,NAP,38,15,14,9,50,43,7,59,2009,Italian Serie A
7,JUV,38,16,7,15,55,56,-1,55,2009,Italian Serie A
8,PAR,38,14,10,14,46,51,-5,52,2009,Italian Serie A
9,GEN,38,14,9,15,57,61,-4,51,2009,Italian Serie A
10,BAR,38,13,11,14,49,49,0,50,2009,Italian Serie A
11,FIO,38,13,8,17,48,47,1,47,2009,Italian Serie A
12,LAZ,38,11,13,14,39,43,-4,46,2009,Italian Serie A
13,CAT,38,10,15,13,44,45,-1,45,2009,Italian Serie A
14,CVO,38,12,8,18,37,42,-5,44,2009,Italian Serie A
15,UDN,38,11,11,16,54,59,-5,44,2009,Italian Serie A
16,CAG,38,11,11,16,56,58,-2,44,2009,Italian Serie A
17,BOL,38,10,12,16,42,55,-13,42,2009,Italian Serie A
18,ATA,38,9,8,21,37,53,-16,35,2009,Italian Serie A
19,SNA,38,7,10,21,40,67,-27,31,2009,Italian Serie A
20,LVO,38,7,8,23,27,61,-34,29,2009,Italian Serie A
1,MIL,38,24,10,4,65,24,41,82,2010,Italian Serie A
2,INT,38,23,7,8,69,42,27,76,2010,Italian Serie A
3,NAP,38,21,7,10,59,39,20,70,2010,Italian Serie A
4,UDN,38,20,6,12,65,43,22,66,2010,Italian Serie A
5,LAZ,38,20,6,12,55,39,16,66,2010,Italian Serie A
6,ROMA,38,18,9,11,59,52,7,63,2010,Italian Serie A
7,JUV,38,15,13,10,57,47,10,58,2010,Italian Serie A
8,PAL,38,17,5,16,58,63,-5,56,2010,Italian Serie A
9,FIO,38,12,15,11,49,44,5,51,2010,Italian Serie A
10,GEN,38,14,9,15,45,47,-2,51,2010,Italian Serie A
11,CVO,38,11,13,14,38,40,-2,46,2010,Italian Serie A
12,PAR,38,11,13,14,39,47,-8,46,2010,Italian Serie A
13,CAT,38,12,10,16,40,52,-12,46,2010,Italian Serie A
14,CAG,38,12,9,17,44,51,-7,45,2010,Italian Serie A
15,CES,38,11,10,17,38,50,-12,43,2010,Italian Serie A
16,BOL,38,11,12,15,35,52,-17,42,2010,Italian Serie A
17,LEC,38,11,8,19,46,66,-20,41,2010,Italian Serie A
18,SAM,38,8,12,18,33,49,-16,36,2010,Italian Serie A
19,BRE,38,7,11,20,34,52,-18,32,2010,Italian Serie A
20,BAR,38,5,9,24,27,56,-29,24,2010,Italian Serie A
1,JUV,38,23,15,0,68,20,48,84,2011,Italian Serie A
2,MIL,38,24,8,6,74,33,41,80,2011,Italian Serie A
3,UDN,38,18,10,10,52,35,17,64,2011,Italian Serie A
4,LAZ,38,18,8,12,56,47,9,62,2011,Italian Serie A
5,NAP,38,16,13,9,66,46,20,61,2011,Italian Serie A
6,INT,38,17,7,14,58,55,3,58,2011,Italian Serie A
7,ROMA,38,16,8,14,60,54,6,56,2011,Italian Serie A
8,PAR,38,15,11,12,54,53,1,56,2011,Italian Serie A
9,BOL,38,13,12,13,41,43,-2,51,2011,Italian Serie A
10,CVO,38,12,13,13,35,45,-10,49,2011,Italian Serie A
11,CAT,38,11,15,12,47,52,-5,48,2011,Italian Serie A
12,ATA,38,13,13,12,41,43,-2,46,2011,Italian Serie A
13,FIO,38,11,13,14,37,43,-6,46,2011,Italian Serie A
14,SNA,38,11,11,16,45,45,0,44,2011,Italian Serie A
15,CAG,38,10,13,15,37,46,-9,43,2011,Italian Serie A
16,PAL,38,11,10,17,52,62,-10,43,2011,Italian Serie A
17,GEN,38,11,9,18,50,69,-19,42,2011,Italian Serie A
18,LEC,38,8,12,18,40,56,-16,36,2011,Italian Serie A
19,NOV,38,7,11,20,35,65,-30,32,2011,Italian Serie A
20,CES,38,4,10,24,24,60,-36,22,2011,Italian Serie A
1,JUV,38,27,6,5,71,24,47,87,2012,Italian Serie A
2,NAP,38,23,9,6,73,36,37,78,2012,Italian Serie A
3,MIL,38,21,9,8,67,39,28,72,2012,Italian Serie A
4,FIO,38,21,7,10,72,44,28,70,2012,Italian Serie A
5,UDN,38,18,12,8,59,45,14,66,2012,Italian Serie A
6,ROMA,38,18,8,12,71,56,15,62,2012,Italian Serie A
7,LAZ,38,18,7,13,51,42,9,61,2012,Italian Serie A
8,CAT,38,15,11,12,50,46,4,56,2012,Italian Serie A
9,INT,38,16,6,16,55,57,-2,54,2012,Italian Serie A
10,PAR,38,13,10,15,45,46,-1,49,2012,Italian Serie A
11,CAG,38,12,11,15,43,55,-12,47,2012,Italian Serie A
12,CVO,38,12,9,17,37,52,-15,45,2012,Italian Serie A
13,BOL,38,11,11,16,46,52,-6,44,2012,Italian Serie A
14,SAM,38,11,10,17,43,51,-8,42,2012,Italian Serie A
15,ATA,38,11,9,18,39,56,-17,40,2012,Italian Serie A
16,TOR,38,8,16,14,46,55,-9,39,2012,Italian Serie A
17,GEN,38,8,14,16,38,52,-14,38,2012,Italian Serie A
18,PAL,38,6,14,18,34,54,-20,32,2012,Italian Serie A
19,SNA,38,9,9,20,36,57,-21,30,2012,Italian Serie A
20,PES,38,6,4,28,27,84,-57,22,2012,Italian Serie A
1,JUV,38,33,3,2,80,23,57,102,2013,Italian Serie A
2,ROMA,38,26,7,5,72,25,47,85,2013,Italian Serie A
3,NAP,38,23,9,6,77,39,38,78,2013,Italian Serie A
4,FIO,38,19,8,11,65,44,21,65,2013,Italian Serie A
5,INT,38,15,15,8,62,39,23,60,2013,Italian Serie A
6,PAR,38,15,13,10,58,46,12,58,2013,Italian Serie A
7,TOR,38,15,12,11,58,48,10,57,2013,Italian Serie A
8,MIL,38,16,9,13,57,49,8,57,2013,Italian Serie A
9,LAZ,38,15,11,12,54,54,0,56,2013,Italian Serie A
10,VER,38,16,6,16,62,68,-6,54,2013,Italian Serie A
11,ATA,38,15,5,18,43,51,-8,50,2013,Italian Serie A
12,SAM,38,12,9,17,48,62,-14,45,2013,Italian Serie A
13,UDN,38,12,8,18,46,57,-11,44,2013,Italian Serie A
14,GEN,38,11,11,16,41,50,-9,44,2013,Italian Serie A
15,CAG,38,9,12,17,34,53,-19,39,2013,Italian Serie A
16,CVO,38,10,6,22,34,54,-20,36,2013,Italian Serie A
17,SAS,38,9,7,22,43,72,-29,34,2013,Italian Serie A
18,CAT,38,8,8,22,34,66,-32,32,2013,Italian Serie A
19,BOL,38,5,14,19,28,58,-30,29,2013,Italian Serie A
20,LVO,38,6,7,25,39,77,-38,25,2013,Italian Serie A
1,JUV,38,26,9,3,72,24,48,87,2014,Italian Serie A
2,ROMA,38,19,13,6,54,31,23,70,2014,Italian Serie A
3,LAZ,38,21,6,11,71,38,33,69,2014,Italian Serie A
4,FIO,38,18,10,10,61,46,15,64,2014,Italian Serie A
5,NAP,38,18,9,11,70,54,16,63,2014,Italian Serie A
6,GEN,38,16,11,11,62,47,15,59,2014,Italian Serie A
7,SAM,38,13,17,8,48,42,6,56,2014,Italian Serie A
8,INT,38,14,13,11,59,48,11,55,2014,Italian Serie A
9,TOR,38,14,12,12,48,45,3,54,2014,Italian Serie A
10,MIL,38,13,13,12,56,50,6,52,2014,Italian Serie A
11,PAL,38,12,13,13,53,55,-2,49,2014,Italian Serie A
12,SAS,38,12,13,13,49,57,-8,49,2014,Italian Serie A
13,VER,38,11,13,14,49,65,-16,46,2014,Italian Serie A
14,CVO,38,10,13,15,28,41,-13,43,2014,Italian Serie A
15,EMP,38,8,18,12,46,52,-6,42,2014,Italian Serie A
16,UDN,38,10,11,17,43,56,-13,41,2014,Italian Serie A
17,ATA,38,7,16,15,38,57,-19,37,2014,Italian Serie A
18,CAG,38,8,10,20,48,68,-20,34,2014,Italian Serie A
19,CES,38,4,12,22,36,73,-37,24,2014,Italian Serie A
20,PAR,38,6,8,24,33,75,-42,19,2014,Italian Serie A
1,JUV,38,29,4,5,75,20,55,91,2015,Italian Serie A
2,NAP,38,25,7,6,80,32,48,82,2015,Italian Serie A
3,ROMA,38,23,11,4,83,41,42,80,2015,Italian Serie A
4,INT,38,20,7,11,50,38,12,67,2015,Italian Serie A
5,FIO,38,18,10,10,60,42,18,64,2015,Italian Serie A
6,SAS,38,16,13,9,49,40,9,61,2015,Italian Serie A
7,MIL,38,15,12,11,49,43,6,57,2015,Italian Serie A
8,LAZ,38,15,9,14,52,52,0,54,2015,Italian Serie A
9,CVO,38,13,11,14,43,45,-2,50,2015,Italian Serie A
10,EMP,38,12,10,16,40,49,-9,46,2015,Italian Serie A
11,GEN,38,13,7,18,45,48,-3,46,2015,Italian Serie A
12,TOR,38,12,9,17,52,55,-3,45,2015,Italian Serie A
13,ATA,38,11,12,15,41,47,-6,45,2015,Italian Serie A
14,BOL,38,11,9,18,33,45,-12,42,2015,Italian Serie A
15,SAM,38,10,10,18,48,61,-13,40,2015,Italian Serie A
16,PAL,38,10,9,19,38,65,-27,39,2015,Italian Serie A
17,UDN,38,10,9,19,35,60,-25,39,2015,Italian Serie A
18,CAR,38,9,11,18,37,57,-20,38,2015,Italian Serie A
19,FRO,38,8,7,23,35,76,-41,31,2015,Italian Serie A
20,VER,38,5,13,20,34,63,-29,28,2015,Italian Serie A
1,JUV,38,29,4,5,77,27,50,91,2016,Italian Serie A
2,ROMA,38,28,3,7,90,38,52,87,2016,Italian Serie A
3,NAP,38,26,8,4,94,39,55,86,2016,Italian Serie A
4,ATA,38,21,9,8,62,41,21,72,2016,Italian Serie A
5,LAZ,38,21,7,10,74,51,23,70,2016,Italian Serie A
6,MIL,38,18,9,11,57,45,12,63,2016,Italian Serie A
7,INT,38,19,5,14,72,49,23,62,2016,Italian Serie A
8,FIO,38,16,12,10,63,57,6,60,2016,Italian Serie A
9,TOR,38,13,14,11,71,66,5,53,2016,Italian Serie A
10,SAM,38,12,12,14,49,55,-6,48,2016,Italian Serie A
11,CAG,38,14,5,19,55,76,-21,47,2016,Italian Serie A
12,SAS,38,13,7,18,58,63,-5,46,2016,Italian Serie A
13,UDN,38,12,9,17,47,56,-9,45,2016,Italian Serie A
14,CVO,38,12,7,19,43,61,-18,43,2016,Italian Serie A
15,BOL,38,11,8,19,40,58,-18,41,2016,Italian Serie A
16,GEN,38,9,9,20,38,64,-26,36,2016,Italian Serie A
17,CRO,38,9,7,22,34,58,-24,34,2016,Italian Serie A
18,EMP,38,8,8,22,29,61,-32,32,2016,Italian Serie A
19,PAL,38,6,8,24,33,77,-44,26,2016,Italian Serie A
20,PES,38,3,9,26,37,81,-44,18,2016,Italian Serie A
1,JUV,38,30,5,3,86,24,62,95,2017,Italian Serie A
2,NAP,38,28,7,3,77,29,48,91,2017,Italian Serie A
3,ROMA,38,23,8,7,61,28,33,77,2017,Italian Serie A
4,INT,38,20,12,6,66,30,36,72,2017,Italian Serie A
5,LAZ,38,21,9,8,89,49,40,72,2017,Italian Serie A
6,MIL,38,18,10,10,56,42,14,64,2017,Italian Serie A
7,ATA,38,16,12,10,57,39,18,60,2017,Italian Serie A
8,FIO,38,16,9,13,54,46,8,57,2017,Italian Serie A
9,TOR,38,13,15,10,54,46,8,54,2017,Italian Serie A
10,SAM,38,16,6,16,56,60,-4,54,2017,Italian Serie A
11,SAS,38,11,10,17,29,59,-30,43,2017,Italian Serie A
12,GEN,38,11,8,19,33,43,-10,41,2017,Italian Serie A
13,CVO,38,10,10,18,36,59,-23,40,2017,Italian Serie A
14,UDN,38,12,4,22,48,63,-15,40,2017,Italian Serie A
15,BOL,38,11,6,21,40,52,-12,39,2017,Italian Serie A
16,CAG,38,11,6,21,33,61,-28,39,2017,Italian Serie A
17,SPAL,38,8,14,16,39,59,-20,38,2017,Italian Serie A
18,CRO,38,9,8,21,40,66,-26,35,2017,Italian Serie A
19,VER,38,7,4,27,30,78,-48,25,2017,Italian Serie A
20,BEN,38,6,3,29,33,84,-51,21,2017,Italian Serie A
1,JUV,38,28,6,4,70,30,40,90,2018,Italian Serie A
2,NAP,38,24,7,7,74,36,38,79,2018,Italian Serie A
3,ATA,38,20,9,9,77,46,31,69,2018,Italian Serie A
4,INT,38,20,9,9,57,33,24,69,2018,Italian Serie A
5,MIL,38,19,11,8,55,36,19,68,2018,Italian Serie A
6,ROMA,38,18,12,8,66,48,18,66,2018,Italian Serie A
7,TOR,38,16,15,7,52,37,15,63,2018,Italian Serie A
8,LAZ,38,17,8,13,56,46,10,59,2018,Italian Serie A
9,SAM,38,15,8,15,60,51,9,53,2018,Italian Serie A
10,BOL,38,11,11,16,48,56,-8,44,2018,Italian Serie A
11,SAS,38,9,16,13,53,60,-7,43,2018,Italian Serie A
12,UDN,38,11,10,17,39,53,-14,43,2018,Italian Serie A
13,SPAL,38,11,9,18,44,56,-12,42,2018,Italian Serie A
14,PAR,38,10,11,17,41,61,-20,41,2018,Italian Serie A
15,CAG,38,10,11,17,36,54,-18,41,2018,Italian Serie A
16,FIO,38,8,17,13,47,45,2,41,2018,Italian Serie A
17,GEN,38,8,14,16,39,57,-18,38,2018,Italian Serie A
18,EMP,38,10,8,20,51,70,-19,38,2018,Italian Serie A
19,FRO,38,5,10,23,29,69,-40,25,2018,Italian Serie A
20,CVO,38,2,14,22,25,75,-50,17,2018,Italian Serie A
1,JUV,38,26,5,7,76,43,33,83,2019,Italian Serie A
2,INT,38,24,10,4,81,36,45,82,2019,Italian Serie A
3,ATA,38,23,9,6,98,48,50,78,2019,Italian Serie A
4,LAZ,38,24,6,8,79,42,37,78,2019,Italian Serie A
5,ROMA,38,21,7,10,77,51,26,70,2019,Italian Serie A
6,MIL,38,19,9,10,63,46,17,66,2019,Italian Serie A
7,NAP,38,18,8,12,61,50,11,62,2019,Italian Serie A
8,SAS,38,14,9,15,69,63,6,51,2019,Italian Serie A
9,VER,38,12,13,13,47,51,-4,49,2019,Italian Serie A
10,FIO,38,12,13,13,51,48,3,49,2019,Italian Serie A
11,PAR,38,14,7,17,56,57,-1,49,2019,Italian Serie A
12,BOL,38,12,11,15,52,65,-13,47,2019,Italian Serie A
13,UDN,38,12,9,17,37,51,-14,45,2019,Italian Serie A
14,CAG,38,11,12,15,52,56,-4,45,2019,Italian Serie A
15,SAM,38,12,6,20,48,65,-17,42,2019,Italian Serie A
16,TOR,38,11,7,20,46,68,-22,40,2019,Italian Serie A
17,GEN,38,10,9,19,47,73,-26,39,2019,Italian Serie A
18,LEC,38,9,8,21,52,85,-33,35,2019,Italian Serie A
19,BRE,38,6,7,25,35,79,-44,25,2019,Italian Serie A
20,SPAL,38,5,5,28,27,77,-50,20,2019,Italian Serie A
1,INT,38,28,7,3,89,35,54,91,2020,Italian Serie A
2,MIL,38,24,7,7,74,41,33,79,2020,Italian Serie A
3,ATA,38,23,9,6,90,47,43,78,2020,Italian Serie A
4,JUV,38,23,9,6,77,38,39,78,2020,Italian Serie A
5,NAP,38,24,5,9,86,41,45,77,2020,Italian Serie A
6,LAZ,38,21,5,12,61,55,6,68,2020,Italian Serie A
7,ROMA,38,18,8,12,68,58,10,62,2020,Italian Serie A
8,SAS,38,17,11,10,64,56,8,62,2020,Italian Serie A
9,SAM,38,15,7,16,52,54,-2,52,2020,Italian Serie A
10,VER,38,11,12,15,46,48,-2,45,2020,Italian Serie A
11,GEN,38,10,12,16,47,58,-11,42,2020,Italian Serie A
12,BOL,38,10,11,17,51,65,-14,41,2020,Italian Serie A
13,FIO,38,9,13,16,47,59,-12,40,2020,Italian Serie A
14,UDN,38,10,10,18,42,58,-16,40,2020,Italian Serie A
15,SPE,38,9,12,17,52,72,-20,39,2020,Italian Serie A
16,CAG,38,9,10,19,43,59,-16,37,2020,Italian Serie A
17,TOR,38,7,16,15,50,69,-19,37,2020,Italian Serie A
18,BEN,38,7,12,19,40,75,-35,33,2020,Italian Serie A
19,CRO,38,6,5,27,45,92,-47,23,2020,Italian Serie A
20,PAR,38,3,11,24,39,83,-44,20,2020,Italian Serie A
1,MIL,37,25,8,4,66,31,35,83,2021,Italian Serie A
2,INT,37,24,9,4,81,32,49,81,2021,Italian Serie A
3,NAP,37,23,7,7,71,31,40,76,2021,Italian Serie A
4,JUV,37,20,10,7,57,35,22,70,2021,Italian Serie A
5,LAZ,37,18,9,10,74,55,19,63,2021,Italian Serie A
6,ROMA,37,17,9,11,56,43,13,60,2021,Italian Serie A
7,FIO,37,18,5,14,57,51,6,59,2021,Italian Serie A
8,ATA,37,16,11,10,65,47,18,59,2021,Italian Serie A
9,VER,37,14,10,13,62,56,6,52,2021,Italian Serie A
